P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_STUDENTEN
20251095;632;11.47
20251100;507;7.93
20251105;765;10.87
20251110;439;10.54
20253005;229;6.18
20253010;497;8.45
20253015;147;7.59
20253020;207;7.16
20253025;296;7.04
20253030;388;7.33
20253035;598;3.84
20253040;502;3.85
20253045;238;9.38
20253050;1013;3.95
20253055;66;3.3
20253060;1067;4.26
20253065;838;10.86
20253070;382;8.39
20253075;915;6.65
20253080;742;7.8
20253085;75;3.83
20253090;1187;9.69
20253095;456;9.92
20253100;463;5.48
20255005;721;11.96
20255015;661;5.78
20255020;1021;9.23
20255025;677;9.47
20255030;675;9.6
20255035;743;9.66
20255040;756;8.93
20255045;272;6.07
20255050;500;9.65
20255055;473;5.28
20255060;797;7.84
20255065;378;4
20255070;743;3.79
20255075;406;5.66
20255080;563;8.88
20255090;119;3.65
20257005;750;5.11
20257010;188;5.37
20257020;1074;10.57
20257025;1074;7.7
20257030;911;7.09
20257035;455;6.8
20257040;271;9.58
20257045;904;8.03
20257050;158;14.34
20257055;63;3.53
20257060;766;10.97
20257065;246;4.23
20257070;1088;8.98
20257075;89;4
20257080;401;2.49
20257085;602;3.66
20257090;537;4.67
20259010;130;4.03
20259015;101;10.33
20259020;1566;6.44
20259025;557;10.3
20259030;770;9.53
20259035;651;10.2
20259040;1055;9.71
20259045;314;11.6
20259050;283;3.27
20259055;267;6.3
20259060;219;6.04
20259065;834;5.59
20259070;1088;6.28
20259075;114;5.2
20259080;180;8.54
20259085;321;11.97
20354005;1813;3.26
20354010;490;3.58
20355005;1201;7.59
20355011;338;10.54
20355015;741;9.03
20355020;550;7.44
20355025;502;4.19
20357005;386;6.5
20357010;1311;8.75
20357015;496;7.78
20357020;1610;9.65
20357025;1430;12.37
20357040;284;5.99
20357045;1286;8.54
20357050;503;6.09
20357055;779;7.39
20357060;1204;9.68
20357070;760;11.44
20357075;28;7.53
20359005;549;11.56
20359010;199;4.62
20359015;204;13.36
20359020;963;8.21
20359025;738;7.51
20359030;1669;7.42
20359035;935;8.62
20359040;955;5.31
20359045;1103;8.56
20359050;747;4.36
20359055;774;3.78
20359060;172;4.34
20359065;738;7.56
20457005;190;3.26
20457010;1799;3.66
20457015;602;5.44
20459005;321;4.04
20459010;717;7.36
20459015;795;5.97
20459020;955;6.07
20459025;547;7.95
20459030;540;4.47
20459035;1079;6.83
20459040;3;12.38
20535005;660;4.95
20535010;641;6.54
20535015;1013;5.71
20535020;580;3.92
20535025;431;5.04
20535030;564;4.93
20535035;584;3.4
20535040;685;5
20535045;204;3.81
20535050;702;4.9
20535055;632;3.49
20535060;388;4.79
20535065;688;2.94
20535070;633;3.57
20535075;374;5.04
20535080;459;3.3
20535085;594;5.17
20535090;441;3.85
20535095;472;5.26
20535100;576;4.39
20535105;777;4.94
20535110;435;4.34
20535115;313;4.12
20535120;431;3.83
20535125;1032;8.59
20535130;604;3.59
20535135;290;6.21
20535140;467;3.66
20537005;388;5.4
20537010;808;7.97
20537015;414;3.83
20537025;921;3.15
20537030;944;5.82
20537035;1090;5.19
20537040;690;6.21
20537045;939;6.28
20537050;399;3.42
20537055;632;4.67
20537060;529;3.49
20537065;645;5.9
20537070;208;1.68
20537075;408;3.1
20537080;1336;3.68
20539005;825;5.28
20539010;661;4.4
20539015;123;3.13
20539020;1207;4.96
20539025;990;3.99
20539030;244;2.28
20539035;696;3
20539040;1177;5.4
20539045;570;7.48
20539050;529;6.41
20539055;648;7.6
21029005;722;2.91
21029010;683;1.99
21029015;1295;4.6
21029020;325;4.05
21029025;1048;4.81
21029030;426;1.81
21029035;804;4.38
21029040;724;3.7
21029045;693;5.39
21029050;383;4.68
21029055;723;4.26
21029060;511;3.9
21029065;1259;5.78
21029070;829;3.41
21029075;755;3.99
21029080;657;3.45
21031005;530;2.49
21031010;1167;3.75
21031015;405;1.22
21031020;384;1.8
21031025;616;1.24
21031030;473;3.16
21031035;409;2.94
21031040;116;3.05
21031045;734;1.92
21031050;399;2.37
21031055;402;2.04
21031060;491;1.45
21031065;589;1.8
21031070;518;6.52
21031075;1121;1.73
21031080;458;2.25
21031085;473;1.82
21031090;613;1.77
21031095;598;2.64
21031100;807;2.36
21031105;475;5.55
21031115;542;1.68
21031120;456;0.67
21031125;872;3.45
21031130;1426;5.5
21033005;818;2.82
21033010;489;3.03
21033015;444;1.39
21033020;894;1.89
21033025;348;3.59
21033030;229;3.75
21033035;687;6.36
21033040;208;2.68
21033045;36;2.92
21033050;218;0.71
21033055;700;6.04
21033060;304;6.7
21033065;325;2.63
21033070;457;1.17
21033075;414;0.87
21033080;576;3.53
21033085;603;5.75
21033090;413;0.75
21033095;412;5.29
21035005;537;5.78
21035010;812;6.33
21035015;1249;3.99
21035020;233;5.21
21035025;1002;3.53
21035035;846;1.77
21035050;367;5.11
21035055;220;5
21035060;398;2.1
21035065;518;5.43
21035070;659;2.53
21035075;704;2.71
21035080;349;1.29
21035085;514;1.93
21035090;835;3.27
21035095;738;2.53
21035100;674;2.28
21035105;696;2.1
21035110;491;2.2
21035115;486;2
21035120;648;1.59
21035125;471;3.09
21035130;503;4.03
21035135;536;1.39
21037005;396;6.98
21037010;138;5.34
21037015;338;6.24
21037020;315;6.52
21037025;490;3.67
21037030;1118;5.61
21037035;468;5.29
21037040;776;5.47
21037045;1150;5.16
21037050;466;4.52
21037055;628;6.17
21037060;816;5.7
21037065;290;6.25
21037070;251;6.03
21037075;311;4.17
21037080;281;2.35
21037085;259;5.9
21039005;594;6.36
21039010;1420;4.68
21039020;254;3.2
21039030;702;4.38
21039035;1136;6.54
21039040;581;4.26
21039045;615;6.26
21039050;595;4.36
21039055;318;4.44
21039065;21;5.32
21039070;509;5.29
21039075;484;5.36
21039080;517;5.76
21073005;770;4.23
21073010;516;3.56
21073015;672;4.18
21073020;424;3.7
21073025;868;4.91
21073030;790;4.38
21073035;918;3.78
21073040;885;3.66
21073045;1125;6.55
21073050;1052;7.94
21073055;938;7.36
21073060;478;5.12
21073065;599;5.56
21073070;1100;4.87
21073075;1143;5.73
21073080;379;4.84
21073085;334;5.02
21073090;847;3.37
21073095;607;3.34
21073100;641;5.08
21073105;361;3.87
21073110;245;3.1
21073115;429;3.01
21073120;583;4.32
21073125;419;4.48
21075005;345;3.18
21075010;376;2.13
21075015;703;4.92
21075020;554;1.49
21075025;296;3.19
21075035;461;1.6
21075040;926;2.08
21075045;572;5.99
21075050;423;5.78
21075055;667;7.22
21075060;1133;5.1
21075065;159;5.91
21075070;1428;3.62
21075075;549;3.58
21075080;693;4.61
21075085;781;5.59
21075090;773;3.57
21075095;651;4.21
21075100;577;3.66
21075105;1172;2.51
21075110;201;2.56
21075115;983;2.82
21077005;769;4.94
21077010;610;1.86
21077015;592;1.95
21077020;249;3.11
21077025;619;1.96
21077030;982;4.14
21077035;454;3.67
21077040;636;2.93
21077045;357;1.99
21077050;771;4
21077055;470;3.9
21077060;820;3.12
21077065;691;1.09
21077070;477;4.57
21077075;421;3.25
21077080;177;5.5
21077085;764;2.46
21077090;614;5.28
21077095;867;4.14
21077100;531;2.12
21077105;546;5.13
21077110;571;2.87
21077115;457;2.28
21079005;686;3.82
21079010;331;4.16
21079015;628;3.27
21079020;941;3.14
21079025;668;1.77
21079030;424;2.48
21079035;348;3.47
21079040;627;1.76
21079045;116;0.92
21079050;891;2.79
21079055;247;4.62
21079060;1241;3.33
21079065;524;1.54
21079070;606;1.83
21079075;727;2.77
21079080;660;4.76
21079085;361;3.7
21079090;829;2.73
21079095;303;1.88
21079100;1234;5.34
21079105;340;4.57
21079110;442;1.96
21079115;345;1.61
21079120;138;0.56
21107010;836;5.57
21107015;926;6.55
21107020;766;5.58
21107025;927;7.12
21107030;637;7.35
21107035;824;6.79
21107040;811;6.17
21107045;711;6.39
21107050;462;7.54
21107055;634;3.99
21107060;292;7.14
21107065;416;1.39
21107070;172;4.78
21107075;420;1.59
21107080;502;2.58
21107085;760;1.81
21107090;474;4.56
21107095;656;1.67
21109005;448;5.49
21109010;692;3.58
21109015;743;5.6
21109020;416;5.51
21109025;816;3.19
21109030;915;4.39
21109035;675;5.73
21109040;469;5.59
21109045;870;6.32
21109050;485;2.57
21109060;776;5.12
21109065;549;4.42
21109070;702;4.83
21109075;875;5.7
21109080;64;0.77
21109085;482;1.2
21109090;918;4.38
21109095;530;5.73
21129005;374;5.32
21129010;722;5.46
21129015;527;2.1
21129020;375;3.41
21129025;374;3.2
21129030;867;1.31
21129035;706;3
21129040;972;2.4
21129045;614;2.79
21129050;457;2
21129055;582;4.06
21129060;426;3.61
21129070;496;6.84
21129075;338;5.48
21129080;1065;2.45
21129085;459;3.23
21129090;427;5.01
21129095;3;6.11
21147005;1410;2.12
21147010;581;1.55
21147015;683;2.95
21147020;505;3.89
21147025;747;4.21
21147030;585;4.25
21147035;615;3.97
21147040;508;1.38
21147045;512;2.93
21147050;1221;4.57
21147055;1049;4.78
21147060;711;3.28
21147065;494;2.84
21147070;288;1.76
21149005;659;1.95
21149010;247;1.29
21149015;787;5.73
21149020;782;1.76
21149025;567;4.12
21149030;547;3.54
21149035;559;1.88
21149040;1023;3.58
21149045;572;4.45
21149050;509;4.95
21149055;694;3.66
21149060;351;1.99
21149065;393;3.8
21149070;775;3.96
21149075;659;5.03
21149080;459;1.16
21149085;414;4.55
21149090;719;1.77
21149095;355;3.35
21149100;635;4.7
21149105;653;2.6
21149110;505;3.97
21217005;473;3.8
21217010;408;6.18
21217015;764;7.04
21217020;583;5.75
21217025;742;6.01
21217030;376;5.92
21217035;346;2.05
21217040;624;3.18
21217045;756;5.09
21217050;571;5.27
21217055;648;6.17
21217060;670;1.95
21217065;791;4.89
21217070;713;5.59
21218005;425;4.98
21218010;569;5.1
21218015;430;2.3
21218020;624;4.45
21218025;741;4.78
21218030;885;3.06
21218035;577;5.17
21218040;531;5.82
21218045;378;4.81
21220005;1127;3.18
21220010;632;2.92
21220015;667;5.25
21220020;959;5.5
21220025;1076;2.44
21220031;397;2.21
21220032;327;2.3
21220035;916;6.01
21220040;767;3.79
21224005;1255;4.94
21224010;882;5.74
21224015;1249;6.02
21224020;341;4.57
21224025;175;4.66
21224030;502;2.53
21224035;652;2.89
21224040;554;3.25
21224045;603;2.71
21224050;315;2.04
21227010;1252;2.7
21228005;446;5.72
21244005;723;2.17
21244010;521;4.95
21244015;520;6.55
21244020;432;4.86
21244025;1089;4.44
21244030;917;3.54
21244035;1068;4.63
21244040;380;5.09
21244045;877;5.88
21244050;897;4.54
21244055;766;4.92
21244060;781;3.24
21244065;1196;4.16
21244070;890;2.71
21244075;910;3.15
21244080;681;6.52
21244085;746;2.46
21244090;627;4.86
21244095;1104;4.61
21244100;909;3.73
21244110;812;5.45
21244115;1063;2.62
21244120;1134;3.67
21244125;99;4.63
21244130;167;2.67
21244135;1;7.56
21255010;579;4.22
21255020;709;3.82
21255025;1007;2.59
21255030;743;2.27
21255035;921;2.03
21255040;568;1.54
21255045;930;5.21
21255050;954;2.92
21255055;624;1.36
21255061;770;1.5
21255065;318;1.03
21255070;6;1.83
21255075;93;0.94
21255080;496;2.67
21255085;84;1.89
21256005;586;4.54
21256010;352;5.73
21256015;332;6.03
21258005;946;1.99
21259005;527;3.79
21259010;178;2.02
21261005;371;2.26
21261010;175;3.18
21266005;1114;3.23
21266010;844;5.03
21266015;881;3.64
21266020;884;5.31
21271005;663;4.74
21271010;196;4.92
21271015;426;6.58
21271020;405;5.02
21271025;426;5.17
21271030;590;3.94
21271035;179;4.43
21271040;129;4.14
21271045;286;2.64
21271050;332;3.72
21272005;395;5.13
21272010;198;5.43
21272015;193;1.82
21272020;152;1.62
21272026;227;3.65
21274005;259;3.19
21274010;230;5.32
21279010;427;5.09
21279015;356;4.39
21279020;449;5.46
21279025;455;4.61
21279030;513;5.39
21279035;183;6.6
21279040;163;3.9
21279045;632;3.8
21279050;501;5.3
21335006;674;7.76
21335010;510;7.66
21335015;400;6.02
21335020;1218;9.94
21335025;992;6.95
21335030;1043;9.36
21335035;716;7.33
21335040;797;4.86
21335050;664;6.57
21335056;1001;4.36
21335060;1356;3.47
21335065;1109;4.87
21335070;482;5
21335075;582;3.92
21335080;919;3.71
21335085;1066;4.91
21335090;1122;3.02
21337005;602;4.19
21337010;767;1.39
21337015;606;2.35
21337020;419;5.34
21337025;1025;3.95
21337030;873;3.29
21337035;408;3.7
21337040;794;7.24
21337045;534;4.4
21337050;853;3.05
21337055;454;3.39
21337060;823;2.16
21337065;1130;4.25
21337070;626;2.35
21337075;751;5.44
21337080;966;2.89
21337085;638;4.74
21337090;919;6.27
21339005;1235;4.62
21339010;798;6.41
21339015;429;4.13
21339020;784;3.2
21339025;576;2.01
21339030;708;2.95
21339035;648;1.93
21339040;688;1.87
21339045;593;1.8
21339050;1341;4.76
21339055;954;4.34
21339060;579;2.59
21339065;455;1.34
21339070;789;2.87
21339075;132;3.29
21339080;406;3.13
21339085;777;4.97
21354005;999;2.99
21354010;715;1.21
21354015;1092;2.12
21354020;118;1.78
21354025;151;1.53
21354031;371;1.49
21354035;654;2.43
21354040;244;1.69
21354045;122;1.93
21354050;135;0.88
21354055;165;1.44
21354060;237;1.34
21357005;839;3.61
21357010;947;2.03
21357015;1386;2
21357020;911;4.82
21357030;4;1.23
21357035;608;1.35
21358005;311;7.2
21360006;475;6.23
21360007;128;4.37
21360010;494;4.22
21365005;1229;2.71
21365010;620;2.17
21365015;819;3.06
21365020;804;3.47
21365025;880;3.9
21365030;780;3.13
21368005;211;2.39
21368010;170;3.95
21368015;444;2.81
21368020;533;1.46
21368025;490;1.53
21368030;270;1.04
21368040;59;2.98
21368045;88;3.51
21369005;317;1.55
21369010;400;1.72
21371005;87;1.5
21371010;275;0.99
21376005;538;4.49
21376010;508;3.29
21376015;284;2.36
21376020;137;3.42
21376025;719;5.33
21376030;781;3.14
21376035;247;1.91
21376040;221;3.02
21376045;274;1.51
21379005;448;1.95
21379010;182;5.64
21379015;126;2.77
21379020;499;1.86
21379030;1047;2.75
21379035;580;2.35
21379041;41;1.53
21379042;58;1.01
21379045;287;1.6
21380005;779;1.34
21382005;519;2.04
21382010;190;0.68
21382015;798;3.35
21385005;868;1.76
21385010;966;1.82
21385015;118;1.11
21385020;270;3.1
21385025;226;2.24
21385030;380;3.89
21386005;354;3.27
21386010;151;1.47
21388010;142;2.49
21388015;200;1.52
21388020;368;1.54
21391010;1379;3.21
21391016;1202;2.22
21391020;2;7.41
21391025;1052;3.76
21394005;1004;1.97
21394010;629;3.45
21394015;182;4.77
21394020;774;1.61
21395005;180;1.21
21395010;396;2.43
21395015;693;2.31
21395020;702;1.77
21397005;1014;2.76
21397010;412;3.63
21398005;1149;1.74
21400005;286;2.31
21400010;324;1.92
21401005;184;1.2
21401010;208;1.78
21401015;216;1.22
21403005;816;2.85
21406005;341;2.25
21406010;461;1.97
21406015;648;1.77
21406020;500;1.9
21407005;700;2.33
21407010;1036;3.44
21409005;831;1.9
21409010;445;1.65
21423005;530;2.64
21423010;153;1.29
21423015;384;1.6
21423021;496;2.23
21423025;320;3.55
21423030;715;2.07
21423035;447;2.28
21423040;1192;2.22
21423045;1255;4.53
21423050;1398;4.28
21423055;448;4.02
21423060;866;3.36
21423065;995;3.15
21423070;712;2.4
21423075;920;3.74
21423080;328;3.29
21423085;1245;2.32
21423090;60;1.88
21423095;374;3.06
21423100;341;5.35
21423105;947;5.49
21423110;821;3.13
21423115;513;1.97
21423120;712;3.1
21423125;223;1.3
21423130;650;3.46
21423135;525;3.94
21423140;342;3.49
21435005;1350;3.95
21435010;695;4.31
21435015;858;2.26
21435020;704;2.91
21435025;957;5.94
21435030;505;2.52
21436006;689;3.57
21436011;425;3.39
21436015;310;2.71
21436020;300;4.25
21438005;304;5.52
21438010;372;6.07
21438015;135;4
21439005;684;5.27
21441005;692;4.58
21442005;674;3.13
21442010;374;3.28
21444010;464;3.84
21444020;2;2.84
21445005;741;4.16
21447006;881;2.48
21449005;901;3.92
21465005;394;3.25
21465010;897;6.23
21465015;330;2.13
21465020;450;2.49
21465025;143;2.22
21465030;460;3.86
21465035;130;2.01
21465040;534;5.77
21465045;457;6.36
21465050;538;7.2
21465055;383;2.89
21465060;966;4.87
21465065;712;6.19
21465070;889;5.37
21465075;929;2.94
21465080;724;5.08
21465085;644;4.85
21465090;412;1.93
21465095;400;2.19
21465100;695;4.68
21465105;773;3.42
21465110;697;6.53
21465115;337;6.14
21465120;720;4.41
21465125;440;2.06
21465130;896;4.24
21465135;597;2.79
21465140;671;6.27
21465145;855;4.42
21465150;683;5.8
21465155;708;3.94
21481005;1160;3.2
21481010;527;1.57
21481015;121;1.72
21481020;738;2.98
21481025;400;2.75
21481030;105;1.72
21481035;212;3.21
21481040;132;1.46
21481045;556;5.18
21481050;1006;4.61
21481055;777;3.8
21481065;383;1.66
21481070;70;4.45
21481075;153;4.84
21483005;354;2.02
21483010;172;0.68
21483015;555;1.87
21483020;136;0.91
21483030;148;1.14
21483040;304;1.28
21483045;90;2.07
21483050;79;1.03
21483055;70;4.77
21493010;417;2.58
21493015;121;1.81
21493030;251;1.48
21493040;219;2.03
21493045;761;4.56
21493050;1374;6.55
21493060;572;5.58
21493065;952;3.19
21493075;825;4.2
21493080;271;1.58
21493085;13;5.6
21493090;506;4.57
21493095;61;3.3
21493100;170;1.66
21493105;113;5.15
21493110;71;3.27
21493115;143;1.6
21493120;175;8.88
21493130;195;4.93
21493135;85;2.47
21493140;665;3.22
21493145;824;2.36
21493150;440;2.81
21502010;584;5.19
21502015;1344;5.68
21502020;211;6.4
21502025;836;2.47
21502030;880;5.11
21502035;1252;4.4
21502040;903;3.18
21502045;909;3.35
21502050;676;3.16
21502055;1179;2.78
21502060;482;2.57
21502065;813;5.94
21502070;1297;3.16
21502075;563;6.37
21502080;171;3.58
21502085;549;3.5
21502090;853;2.18
21502100;332;1.23
21502105;75;1.95
21502110;91;1.67
21502115;20;1.54
21502120;866;2.86
21509010;396;1.45
21509015;1302;3.2
21509020;1040;3.05
21509025;166;3.49
21509030;752;3.96
21509035;510;4.95
21509040;874;3.49
21509045;756;3.17
21509050;276;2.74
21509055;1039;3.88
21509060;554;4.73
21509065;345;5.15
21509070;5;5.93
21514010;463;2.05
21514015;336;2.39
21514020;175;1.89
21514030;475;2.71
21514035;234;2.84
21514040;326;1.81
21514045;190;2
21514050;29;7.01
21514055;713;4.54
21514060;102;4.21
21514065;287;2.11
21514075;123;5.05
21514080;434;1.3
21514085;89;2.05
21514090;230;4.28
21514095;719;1.26
21514105;123;3.72
21514110;70;2.48
21516005;416;3.02
21516010;203;3.07
21516015;151;1.11
21516020;157;3.4
21521010;773;2.68
21521015;428;2.25
21521025;382;2.14
21521030;343;3.72
21521035;384;2.49
21521040;445;3.05
21521045;363;2.24
21521055;338;3.94
21521060;12;4.41
21521065;775;2.68
21521070;1;2.49
21522005;309;1.75
21522010;128;1.67
21522015;411;2.59
21522020;593;1.2
21522026;184;1.08
21524005;303;2.07
21526005;239;4.64
21527005;259;2.84
21529005;531;5.13
21614005;164;2.21
21614010;337;2.02
21614015;543;4.45
21614020;401;1.93
21614025;414;3.23
21614030;324;4.64
21614035;338;3.15
21614040;453;1.19
21614045;488;3.05
21614050;179;1.51
21614055;944;3.12
21614060;785;3.46
21614065;1073;4.24
21614070;800;6.45
21614075;710;4
21614080;709;4
21614085;324;1.74
21614090;357;8.34
21614095;527;5.2
21614100;251;5.34
21614105;457;5.48
21614110;590;2.78
21614115;578;5.82
21614120;277;3.29
21614125;1055;4.58
21614130;417;1.94
21614135;399;3.37
21614140;886;3.78
21614145;513;3.03
21614150;433;2.24
21614155;319;4.7
21614160;534;4.86
21614165;636;2.98
21614170;709;7.93
21614175;736;2.35
21614180;463;4.67
21629005;971;3.56
21629010;964;3.93
21629015;850;2.44
21629020;544;1.05
21629025;621;4.3
21629035;543;1.78
21629040;359;4.25
21629045;546;1.11
21629050;605;3.29
21629055;705;4.53
21629060;414;6.17
21629065;193;2.74
21629070;234;0.82
21629075;144;3.74
21629080;626;2.45
21629085;945;4.52
21629090;540;2.45
21635005;765;6.28
21635010;1170;6.1
21635016;523;3.82
21635020;422;3.73
21635025;307;2.57
21635030;621;4.27
21635035;755;5.96
21635040;251;6.15
21635045;468;3.53
21635050;270;2.82
21635055;21;4.19
21635060;11;2.24
21640005;742;2.48
21640010;1166;2.69
21640015;751;2.78
21640020;907;1.56
21640025;334;1.43
21640030;603;4.34
21641005;957;2.99
21641010;768;3.74
21643005;740;2.75
21643010;151;2.34
21643015;210;1.5
21644005;481;1.21
21644010;323;2.03
21644015;209;1.16
21646005;314;1.24
21647005;821;4.07
21647010;11;5.24
21649005;488;2.44
21680005;1289;5.35
21680010;95;3.53
21680015;962;2.02
21680020;760;3
21680025;1176;4.43
21680030;893;3.19
21680035;1189;2.35
21680040;859;1.81
21680045;1048;1.8
21680050;1131;3.41
21680055;165;3.07
21682010;1245;4.8
21682015;1031;6.61
21682020;387;2.06
21682025;982;6.65
21682030;757;3.93
21682035;1047;5.17
21682040;1026;4.47
21682045;721;1.84
21682050;527;1.52
21683005;811;2.56
21683010;273;0.73
21683016;758;1.06
21683020;228;1.85
21683025;931;2.48
21684005;525;2.63
21684010;801;3.73
21684015;745;2.09
21684020;728;2.28
21684025;1186;3.43
21698005;676;1.87
21698010;159;2.15
21698015;150;1.29
21698020;170;2.76
21698025;1438;2.45
21698030;1368;3.12
21698035;984;1.88
21698040;496;1.28
21698045;879;2.45
21698050;283;0.97
21698055;367;2.09
21698060;225;2.64
21702005;828;2.33
21702010;203;3.19
21702015;200;1.36
21702020;104;1.05
21702025;242;1.33
21702030;114;1.42
21702035;231;0.68
21702040;252;1.26
21706005;604;1.28
21706010;1033;3.34
21706015;820;1.28
21706020;775;1.68
21706025;97;2.21
21706030;336;1.29
21706035;340;1.47
21706041;785;1.45
21706045;310;1.46
21706050;265;1.49
21706055;123;1.34
21706065;390;1.27
21706070;1;1.88
21709010;118;0.91
21709015;437;1.82
21709020;819;1.73
21709025;601;1.38
21709030;899;1.76
21709040;70;1.09
21709045;33;1.36
21709050;263;1.52
21709055;73;0.87
21710005;127;0.74
21710010;186;1.57
21712005;244;1.81
21714006;944;1.32
21714010;134;0.89
21714015;246;0.84
21717005;440;2.09
21717010;441;1.22
21717015;989;2.84
21717020;1023;2.78
21717025;441;0.89
21717030;277;1.45
21720006;946;5.7
21720007;19;3.22
21720010;557;5.04
21720015;479;2.41
21720021;858;4.77
21723006;872;3.91
21723010;814;1.61
21726005;313;0.84
21726010;328;2.09
21726015;257;1.57
21726020;122;1.95
21726025;594;1.55
21726030;823;1.13
21727005;354;1.47
21727010;308;1.6
21729005;1105;1.52
21730006;481;2.34
21730007;8;3.06
21730010;66;5.15
21732005;255;2.9
21734010;592;2.38
21737005;430;2.38
21737010;369;0.91
21737015;276;0.77
21737020;405;1.2
21739005;919;3.45
21745005;699;1.19
21745010;861;2.22
21745015;1091;1.88
21745020;903;3.21
21745025;525;1.25
21745030;585;2.35
21755005;204;2.29
21755010;1133;1.56
21755015;386;0.79
21756005;535;1.56
21756010;204;0.85
21756015;216;0.7
21762005;251;1.59
21762010;840;2.38
21762015;869;1.38
21762020;797;2.58
21762025;671;1.59
21762030;864;2.62
21763005;657;1.12
21765005;485;0.99
21769005;261;1.79
21769010;161;1.25
21769015;278;0.98
21769020;193;1.15
21769025;1143;1.56
21769030;263;1.03
21770005;102;1.33
21770010;138;0.97
21772005;127;1.37
21772010;112;0.71
21772015;1;0.18
21775005;510;1.66
21775010;255;1.12
21775015;263;1.28
21775020;376;0.99
21776005;416;1.03
21776010;497;1.42
21776015;129;1.42
21781005;740;1.94
21781010;994;1.33
21781015;404;1.2
21782005;316;1.22
21782010;137;0.87
21785005;308;1.59
21785010;133;2.47
21785015;780;2.32
21787005;796;1.66
21789005;640;1.07
21789010;556;1.31
21789015;540;2.19
21789020;111;1.12
22041005;760;6.77
22041010;608;6.54
22041015;693;4.64
22041020;552;6.34
22041025;746;5.7
22041030;25;5.94
22041035;635;4.98
22041040;587;6.67
22041045;1124;5.74
22041050;902;3.48
22041055;724;4.65
22041060;603;4.95
22041065;719;3.84
22041070;1199;3.57
22041075;14;2.15
22041080;221;3.55
22043005;971;6.57
22043010;667;1.73
22043015;761;4.99
22043020;485;5.28
22043025;896;3.82
22043030;542;5.26
22043035;636;2.05
22043040;785;4.53
22043045;627;2.15
22043050;1175;4.03
22043055;592;3.23
22043060;843;5.42
22043065;665;4.14
22043070;544;1.64
22043075;458;2.01
22043080;544;2.96
22043085;341;4.74
22045005;1051;4.39
22045010;1100;2.93
22045016;679;3.69
22045017;134;3.37
22045020;877;4.55
22045025;207;0.93
22045030;467;1.61
22045035;665;5.25
22045040;188;3.1
22045045;351;4.85
22045050;370;2.79
22045055;495;1.79
22045060;288;1.38
22045065;684;5.68
22045070;1077;4.91
22045075;604;2.92
22045080;893;6.68
22045085;621;1.3
22045090;571;4.43
22045095;448;4.61
22045100;84;2.49
22045105;656;4.77
22047005;711;3.54
22047010;368;4.87
22047015;806;3.47
22047020;596;4.2
22047025;73;9.54
22047030;401;1.98
22047035;384;2.18
22047040;333;4.71
22047045;604;3.11
22047050;694;2.08
22047056;844;1.58
22047060;791;4.54
22047065;524;3.25
22047070;565;2.86
22047075;787;2.06
22047080;907;5.12
22047085;350;3.15
22047090;551;3.36
22049005;688;5.17
22049010;862;6.96
22049015;944;7.06
22049020;542;6.04
22049025;597;6.27
22049030;657;6.67
22049035;618;6.29
22049040;736;4.94
22049045;583;7.29
22049050;524;4.79
22049055;569;6.94
22049060;659;6.2
22049065;578;4.32
22049070;633;3.2
22049075;665;4.94
22049080;389;5.26
22049085;883;4.07
22049090;650;5.87
22049095;301;4.03
22049100;571;3.22
22049105;756;4.13
22081005;856;7.64
22081010;199;8.33
22081015;925;4.1
22081020;958;5.77
22081025;637;5.58
22081030;705;7.78
22081035;761;4.36
22081040;885;6.52
22081045;649;6.05
22081050;870;4.46
22081055;308;7.66
22081060;531;5.06
22081065;835;5.98
22083005;555;7.75
22083010;1037;7.08
22083015;576;7.31
22083020;916;7.84
22083025;868;4.25
22083030;531;6.02
22083035;749;6.9
22083040;664;8.29
22083045;615;7.34
22083050;880;4.85
22083055;762;4.63
22083060;289;7.29
22083065;525;6.18
22083070;827;4.84
22083075;702;6.9
22083080;927;7.47
22083085;340;6.91
22083090;960;5.86
22085005;551;5.66
22085010;1073;5.69
22085015;641;3.86
22085020;572;4.11
22085025;539;3.13
22085030;1404;4.62
22085035;867;2.95
22085040;102;3.1
22085050;1169;3.1
22085055;152;2.92
22085060;1049;3.85
22085065;467;8.42
22087005;126;3.69
22087010;581;7.83
22087015;674;5.48
22087020;685;2.93
22087025;89;4.63
22087030;643;5.24
22087035;1021;4.84
22087040;536;4.84
22087045;332;6.52
22087050;443;3.67
22087055;1130;8.23
22087060;911;9.27
22087065;922;6.99
22087070;130;8.92
22089006;226;4.39
22089010;164;6.32
22089015;3;8.24
22089020;835;3.18
22089025;603;6.96
22089030;739;3.79
22089035;644;5.41
22089040;864;7.39
22089045;520;3.1
22089050;573;5.03
22089055;713;5
22089060;687;4.93
22089065;605;6.32
22089070;595;8.31
22089075;685;3.74
22089080;877;4.41
22089085;497;4.56
22089090;418;5.39
22089095;276;3.55
22089100;721;3.9
22089105;681;5.81
22089110;639;4.46
22089115;625;7.26
22111005;631;3.22
22111010;533;5.15
22111015;813;4.72
22111020;464;6.66
22111025;631;4.76
22111030;596;5.4
22111035;439;5.9
22111040;203;3
22111046;475;2.5
22111050;44;1.1
22111055;550;2.77
22111060;807;3.19
22111065;603;3.94
22111070;380;2.31
22111075;639;2.44
22111080;356;2.7
22111085;832;5.52
22111090;131;3.01
22111095;176;2.51
