P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_STUDENTEN
01277020;613;3.98
01277025;119;5.13
01277030;1042;5.59
01277035;829;6.72
01277040;655;6.38
01277045;451;4.8
01277050;472;6.51
01277055;1102;5.55
01277060;1035;6.25
01277065;451;1.83
01277070;982;2.25
01277075;407;5.46
01277080;299;2.42
01277085;585;2.34
01277090;1266;3.02
01277095;594;1.99
01277100;1145;2.96
01277105;793;4.44
01277110;1141;6.3
01277115;811;2.37
01277120;985;4.95
01277125;477;4.26
01277130;364;1.4
01277135;400;3.81
01277140;204;5.25
01277145;330;1.34
01277150;149;1.59
01279005;730;3.25
01279010;639;4.7
01279015;700;3.17
01279020;733;1.61
01279025;1185;2.43
01279030;269;4.37
01279035;494;3.03
01279040;168;2.35
01279045;277;3.95
01279050;682;4.1
01279055;873;3.64
01279060;622;1.75
01279065;1346;3.49
01279070;909;4.93
01279075;619;4
01279080;1647;3.76
01307005;778;1.76
01307010;524;4.55
01307015;845;3.01
01307020;787;4.27
01307025;890;4.18
01307030;657;5.45
01307035;722;4.91
01307040;968;6.7
01307045;931;4.28
01307050;492;4.25
01307055;768;5.97
01307060;740;3.28
01307065;579;2.83
01307070;288;2.9
01307075;175;7.45
01307080;344;4.86
01307085;688;2.52
01307090;460;1.47
01307095;1018;3.18
01307100;821;2.6
01309005;166;3.27
01309010;1092;4.99
01309015;1071;3.19
01309020;751;2.63
01309025;1145;4.8
01309030;1094;5.08
01309035;1115;3.29
01309040;613;2.9
01309045;1371;4.98
01309050;639;3.16
01309055;1299;3.51
01309060;175;0.27
01309065;601;3.39
01309070;571;5.62
01309075;574;2.27
01309080;1517;2.79
01309085;1199;2.74
01309090;764;3.67
01309095;673;2.83
01309100;1117;6.8
01309105;845;6.2
01309110;600;5.87
01309115;182;6.29
01324005;680;2.65
01324010;609;2.76
01324015;683;3.07
01324020;328;2.66
01324025;406;1.84
01324030;647;1.72
01324035;928;3.08
01324040;456;3.51
01324045;221;4.16
01326005;452;2.27
01326010;621;2.29
01326015;470;3.23
01326020;544;2.21
01326025;478;3.27
01326030;996;2.37
01326035;569;1.88
01326040;404;2.37
01326045;611;2.15
01326050;417;1.7
01326055;335;2.03
01326060;179;2.02
01328005;195;1.42
01328010;354;5.62
01328015;543;1.9
01328020;184;5.01
01328025;1017;2.2
01328030;248;2.15
01328035;265;4.08
01328040;463;3.96
01328045;408;5.15
01328055;454;3.19
01328060;810;4.65
01328065;730;5.26
01328070;365;2.33
01328075;687;3.14
01328080;551;4.86
01445005;861;3.07
01445010;402;2.33
01445015;1011;2.37
01445020;509;2.99
01445025;1660;4.99
01445030;973;5.46
01445035;1066;3.07
01445040;798;3.23
01445045;490;3.48
01445050;872;2.75
01445055;554;3.38
01445060;1079;5.7
01445065;774;2.24
01445070;948;4.82
01445075;531;2.65
01445080;1305;3.25
01445085;680;3.2
01445095;611;3.94
01445100;645;4.96
01445105;569;2.76
01445110;488;2.53
01445115;448;1.34
01445120;671;2.98
01454005;155;2.76
01454010;179;0.73
01454015;704;3.87
01454020;188;3.15
01454025;112;2.16
01454030;779;2.75
01454035;152;1.94
01454040;254;1.96
01454045;385;4.55
01454050;77;0.43
01454055;199;3.73
01454060;356;1.36
01454070;182;1.97
01454075;1022;3.77
01454080;542;5.42
01454085;920;3.44
01454090;482;1.3
01454095;404;3.75
01454100;386;4.59
01454105;420;1.65
01454110;381;2.1
01454115;477;1.61
01454120;422;2.57
01454125;429;1.86
01454130;505;0.71
01454135;431;2.36
01454140;415;3.07
01458005;294;2.19
01458010;848;2.06
01458015;723;1.71
01458020;1232;3.12
01458025;636;1.92
01458030;627;3.67
01458035;484;3.82
01465005;599;3.03
01465010;583;4.88
01465015;696;4.68
01465020;225;4.39
01468005;1002;5.57
01468010;990;4.29
01468015;349;6.42
01468020;557;3.38
01468035;270;4.51
01468040;217;4.87
01468045;572;4.07
01468050;10;1.03
01471015;175;2.4
01471020;533;1.71
01471025;203;2.49
01471030;389;2.96
01471035;1053;2.09
01471040;256;3.21
01471045;250;5.01
01471050;294;5.19
01471055;528;4.08
01471060;200;2.57
01477005;404;1.7
01477010;361;0.96
01477015;393;3.05
01477020;174;4.13
01477025;189;1.06
01477030;395;1.68
01477035;255;1.57
01558005;369;4.29
01558010;365;3.97
01558015;471;4.78
01558020;297;4.63
01558025;364;2.88
01558030;82;4
01558035;633;3.38
01558040;543;6.2
01558045;270;5.4
01558050;328;1.14
01558055;281;2.46
01558060;794;4.98
01558065;305;1.91
01558070;201;2.33
01558075;307;2.04
01558080;317;1.82
01558085;582;3.13
01558090;501;0.99
01558095;203;3.5
01558100;140;0.96
01561005;570;1.36
01561010;179;0.73
01561015;307;1.21
01561020;251;1.57
01561025;197;2.99
01561035;441;2.83
01561040;132;1.43
01561045;136;0.99
01561050;125;1.33
01561055;157;1.48
01561060;245;0.82
01561065;161;2.92
01561070;166;2.62
01561075;158;0.91
01561085;159;0.81
01561090;150;0.68
01561095;157;1.36
01561100;408;1.47
01561105;125;0.58
01561110;130;1.01
01561120;239;1.73
01561125;217;1.65
01561130;284;1.27
01561135;154;1.18
01561145;197;0.74
01561150;246;1.52
01561160;137;0.74
01561165;226;0.62
01561170;178;2.51
01561175;95;0.79
01561180;147;0.45
01561185;167;0.39
01561195;253;1.2
01561200;282;1.76
01561205;463;0.85
01561210;158;0.85
01561215;31;0.15
01561220;71;1.54
01561225;93;1.24
01561230;117;1.3
01561235;141;0.87
