P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_ALTER_18_29
09390005;449;10.95
09390010;625;15.47
09392005;617;12.77
09392010;219;15.45
09392015;235;13.74
09392020;335;9.69
09394005;582;12.56
09394010;177;11.81
09394015;996;12.67
09399005;364;14.35
09399010;711;12.8
09399015;232;15.91
09405005;957;14.11
09405010;639;13.66
09405015;336;10.83
09405020;133;14.78
09405025;513;10.93
09405030;1086;15.04
09405035;413;14.17
09405040;551;23.98
09405045;303;8.05
09405050;480;29.1
09419005;456;12.29
09419010;602;15.43
09419015;541;10.72
09419020;559;12.46
09419025;510;10.41
09423010;95;11.31
09423015;116;10.8
09423020;212;7.22
09423025;831;12.78
09423030;604;16.73
09423035;439;12.83
09427005;521;11.36
09427010;312;10.48
09427015;380;10.98
09427020;606;16.14
09427025;874;15.99
09429010;708;15.96
09429015;179;11.42
09429020;305;12.83
09429030;208;12.62
09429035;2;5.03
09429040;348;9.56
09430005;239;8.75
09430010;476;15.1
09430015;287;9.22
09430020;495;11.84
09430025;280;13.36
09430030;524;10.45
09430035;136;29.95
09432005;925;11.58
09432010;19;20.18
09432015;333;8.5
09432020;129;9.3
09434010;201;8.87
09434015;453;7.57
09434020;1;3.88
09437005;472;13.02
09437020;304;12.96
09439005;654;15.63
09439010;290;8.54
09439025;577;11.91
09439035;165;12.66
09456005;437;15.99
09456010;404;18.35
09456015;451;20.47
09456020;351;14.48
09456025;251;19.88
09456030;539;15.29
09456035;353;23.31
09456040;224;24.51
09456045;369;17.82
09456050;187;18.73
09456055;251;14.75
09456060;412;18.86
09456065;683;20.81
09456070;105;29.3
09456075;277;17.64
09456080;167;16.54
09456085;562;12.27
09456090;319;13.17
09456095;1212;15.18
09456100;238;19.67
09456105;448;14.26
09456110;249;10.03
09456115;245;16.23
09456120;214;14.48
09456125;152;10.9
09456130;342;13.16
09456135;396;11.48
09456140;326;8.72
09456145;333;9.44
09456155;236;15.34
09456160;712;10.8
09456165;461;9.5
09456170;179;9.06
09456175;2;5.88
09465005;820;13.29
09465010;249;11.74
09465015;276;9.16
09465020;279;10.87
09465025;256;8.91
09465030;1049;13.97
09468010;665;15.6
09468015;517;13.36
09468020;253;12.42
09468025;246;8.7
09468030;636;9.27
09471005;676;11.48
09471010;64;8.04
09471020;327;14.37
09471025;850;10.21
09471030;218;15.85
09471035;97;17.37
09474005;242;9.24
09474010;179;10.76
09474015;475;13.79
09474020;780;10.51
09474025;311;11.31
09477005;348;13.32
09477010;251;14.87
09477015;395;11.14
09477020;379;9.5
09481005;791;10.2
09481010;221;13.1
09481015;323;11.91
09481020;108;6.19
09481025;851;13.53
09484005;404;12.14
09484010;366;11.27
09484015;359;21.69
09484020;168;11.69
09487005;119;14.26
09487010;845;12.47
09487015;159;8.39
09488005;525;7.85
09488010;290;7.47
09488015;428;11.04
09488020;240;30.04
09488025;104;12.14
09496005;200;12.52
09496010;566;24.53
09496020;373;21.65
09496025;455;24.41
09496030;251;10.44
09496035;345;16.45
09496040;267;20.37
09496045;16;15.12
09496050;966;19.26
09496055;186;14.82
09496060;165;19.45
09496065;158;6.35
09496070;106;12.19
09496080;391;7.68
09496085;185;7.13
09496090;132;18.39
09496095;203;10.65
09496100;283;8.81
09496105;515;8.74
09496110;675;8.1
09496115;290;10.26
09496120;87;9.43
09496125;376;9.13
09496130;32;14.66
09496135;416;9.22
09496140;503;9.5
09496145;298;9.08
09496150;147;9.42
09509005;399;10.02
09509010;994;10.74
09509015;140;13.88
09509020;200;13.04
09514005;591;14.4
09514010;367;15.39
09514015;295;11.39
09514020;123;23.58
09514025;285;9.44
09514030;150;7.87
09514040;3;2.71
09514045;270;12.19
09518005;824;18.46
09518010;227;7
09518015;241;5.84
09518020;218;9.27
09526005;399;10.22
09526010;130;12.09
09526015;156;8.39
09526020;279;10.56
09526025;435;19.05
09526030;425;15.58
09526035;521;12.92
09526040;841;20.08
09526045;427;14.63
09526050;488;13.28
09526055;340;15.85
09526060;267;9.36
09526065;155;8.81
09526070;149;12.66
09526075;220;9.13
09526080;404;7.98
09526090;134;6.02
09526100;88;13.09
09526105;323;7.84
09526110;29;9.23
09526115;289;10.04
09544005;250;9.04
09544010;201;13.55
09544015;101;10.09
09544020;751;11.79
09548005;222;11.61
09548010;140;9.74
09548015;404;8.35
09548025;700;11.04
09548030;162;15.54
09548035;181;12.52
09557005;361;10.09
09557010;1184;14.95
09557015;674;11.66
09557020;239;18.27
09557025;876;16.95
09557030;653;15.46
09557035;392;24.6
09557040;685;19.23
09557045;859;12.49
09557050;11;7.23
09569010;141;8.96
09569015;145;14.58
09569020;173;7.19
09569025;331;9.84
09569030;450;13.76
09569035;285;16.2
09569040;484;15.75
09569045;1040;16.48
09569050;257;11.3
09569055;312;11.56
09569060;121;10.48
09569075;263;12.95
09573005;1062;14.67
09573015;812;17
09573020;115;8.65
09573025;174;9.64
09573030;345;15.69
09573035;689;10.18
09573040;346;13.1
09573045;279;7.48
09573050;387;13.38
09573055;209;7.79
09573060;53;24.31
09575005;324;12.41
09575010;421;10.95
09575015;286;9.42
09575020;295;11.93
09575025;191;11.68
09575030;373;12.15
09577005;474;12.43
09577010;465;15.26
09577015;612;17.05
09577020;288;9.23
09577025;421;15.98
09579005;670;13.59
09579010;569;11.09
09579015;489;12.58
09599005;884;20.93
09599010;566;24.51
09599015;765;33.51
09599020;567;34.78
09599025;428;25.74
09599030;357;30.36
09599035;496;29.28
09599040;541;26.43
09599045;368;16.22
09599050;329;12.89
09599055;648;18.1
09599060;588;19.77
09599065;292;24.85
09599070;917;26.92
09599075;295;8.12
09599080;307;16.08
09599085;26;9.56
09599090;56;11.94
09599095;991;18.37
09599100;293;9.43
09599105;437;9.15
09599110;234;7.93
09599115;508;11.62
09599120;644;10.38
09599125;506;8.4
09599130;344;14.5
09599135;304;11.41
09599140;407;7.65
09599145;617;10.33
09599150;535;14.58
09599155;667;11.16
09599160;672;13.44
09599165;930;13.7
09599170;317;18.46
09599175;424;11.05
09599180;394;12.76
09599185;716;18.1
09599190;137;9.51
09599195;563;24.31
09599200;911;18.62
09599205;155;10.06
09599210;339;9.48
09599215;181;12.94
09599220;472;10.4
09600020;235;9.26
09600025;443;14.66
09600030;813;13.78
09600035;396;15.08
09600040;768;13.53
09603005;447;16.56
09603010;367;11.76
09603015;243;10.24
09603020;81;13.03
09603025;79;8.58
09603030;363;9.5
09603035;344;13.7
09603040;411;13.01
09603045;367;12.37
09618005;492;14.66
09618010;511;19.62
09618015;443;20.95
09618020;1055;14.05
09618025;555;11.21
09618030;600;20.43
09618035;213;13.5
09618040;203;10.7
09618045;113;7.79
09618050;837;10.4
09618055;115;9.78
09618060;663;11.17
09618065;359;12.12
09619005;434;12.99
09619010;287;11.37
09619015;172;7.37
09619020;731;14.82
09619030;196;7.72
09619035;743;14.11
09619040;34;7.87
09619045;300;7.06
09623005;304;10.16
09623010;144;11.87
09623015;501;12.49
09623020;125;12.39
09623025;367;10.47
09623030;375;12.38
09623035;163;10.17
09623040;273;10.35
09623045;254;15.28
09627005;496;14.5
09627010;802;13.24
09627015;605;10.7
09627020;625;16.13
09629005;310;12.07
09629010;109;13.03
09629015;521;12.86
09629020;264;9.07
09633005;161;9.73
09633010;129;16.07
09633015;231;13.91
09633020;444;15.2
09633025;373;10.12
09633030;168;9.9
09633035;196;14.54
09633040;241;13.07
09633045;454;12.04
09634005;291;16.15
09638005;808;12.56
09638010;133;8.83
09638015;197;11.88
09648005;636;14.53
09648010;381;12.5
09648015;188;15.55
09648020;396;12.52
09648025;477;8.84
09648030;327;9.82
09648035;1031;17.68
09648040;331;25.11
09648045;464;27.17
09648050;427;12.85
09648055;237;32.46
09648060;491;22.32
09648065;434;16.12
09648070;292;14.57
09648075;425;16.23
09648080;291;15.17
09648085;504;8.72
09648090;274;13.38
09648095;303;10.7
09648100;1221;12.65
09648105;156;13.18
09648110;131;10.06
09648120;86;9.23
09648125;427;11.41
09648130;141;11.44
09648135;59;18.98
09648140;69;8.02
09661005;161;12.46
09661010;159;10.29
09661015;110;6.9
09661020;674;19.86
09661025;301;18.16
09661030;81;9.86
09661035;191;13.34
09661040;295;17.42
09661045;224;16.44
09661050;295;9.76
09661055;150;12.86
09661060;697;11.5
09661065;171;10.87
09661070;370;7.73
09661075;183;8.27
09661080;194;13.63
09661085;140;8.19
09661090;347;7.8
09661095;187;11.94
09661100;133;15.29
09661105;377;15.01
09661110;370;16.86
09661115;224;10.38
09661120;116;10.21
09661125;195;15.2
09661135;233;11.19
09661145;325;14.62
09661150;330;14.86
09661155;300;8.46
09661160;252;8.6
09661165;150;16.1
09661170;63;7.91
09661175;160;11.91
09661180;93;6.31
09661185;32;8.52
09669005;286;16.25
09669010;616;21.12
09669015;211;18.28
09669020;251;17.53
09669025;555;18.7
09669030;334;17.43
09669035;428;13.77
09669040;748;17.69
09669045;133;9.25
09669050;1412;17.98
09669055;145;10.81
09669060;588;9.7
09669065;184;14.11
09669070;311;8.48
09669075;213;9.04
09669080;145;9.06
09669085;633;24.87
09669090;398;7.69
10115005;1262;37.64
10115010;260;38.07
10115015;512;40.25
10115020;1107;39.1
10115025;883;34
10115030;385;38.67
10115035;820;32.93
10115040;277;20.41
10115045;183;33.35
10115050;675;39.73
10115055;1072;49.86
10115065;831;43.26
10115070;875;49.62
10115075;745;31.09
10115080;869;44.54
10115085;403;28.77
10115090;432;31.33
10115096;835;33.96
10115100;557;31.34
10117005;746;21.29
10117015;621;37.62
10117020;1565;27.38
10117025;157;32.86
10117035;1059;34.91
10117040;690;25.49
10117045;1261;19.11
10117050;914;14.39
10117055;273;29.45
10117060;1137;16.93
10117065;101;27.75
10117070;1306;17.44
10119005;146;41.41
10119010;319;46.85
10119015;1000;47.21
10119020;912;49.11
10119030;416;40.77
10119040;650;47.55
10119045;586;29.24
10119050;502;30.97
10119055;1028;50.75
10119060;532;38.96
10119075;255;49.14
10119085;858;46.93
10119090;229;39.02
10119095;1104;47.52
10119100;284;35.48
10119105;323;46.99
10119110;547;36.17
10119115;679;48.15
10119120;286;42.41
10119125;171;48.71
10178005;318;44.71
10178010;817;37.95
10178015;64;41.1
10178020;520;39.89
10178025;59;32.46
10178030;914;31.49
10178035;693;24.91
10178040;657;18.94
10178045;370;18.75
10178050;336;5.89
10178055;485;14.22
10178060;585;9.91
10178065;453;13.73
10178070;542;17.99
10178075;513;17.79
10178080;390;29.64
10179005;384;18.05
10179010;204;10.31
10179015;203;22.05
10179020;752;12.73
10179025;213;19.18
10179030;320;15.57
10179035;524;15.33
10179045;1001;30.54
10179050;1605;18.47
10179055;659;23.21
10179060;1004;15
10179065;334;8.6
10179070;483;19.45
10179075;703;17.84
10179080;912;30.36
10179085;775;24.29
10243015;712;15.69
10243020;1280;18.23
10243025;154;10.12
10243030;222;19.47
10243035;436;19.57
10243040;220;24.43
10243045;476;18.08
10243050;566;14.69
10243055;371;15.97
10243060;680;15.86
10243065;793;11.72
10243070;679;23.56
10243075;439;13.62
10243080;1510;28.39
10243085;1097;22.67
10243090;889;24.73
10243095;367;16.06
10243100;228;19.98
10243105;743;30.29
10243110;1194;53.71
10243115;632;37.28
10243120;818;37.66
10243125;261;49.66
10243130;221;58.5
10243135;247;38.85
10243140;352;28.53
10245005;961;52.81
10245020;486;60.6
10245030;627;49.8
10245035;672;53.65
10245040;549;29.29
10245045;896;43.46
10245050;1076;52.19
10245065;1376;50.25
10245070;938;35.2
10245080;767;54.46
10245085;503;38.66
10245090;352;17.02
10245095;1130;41.16
10245105;674;51.83
10245110;560;23.72
10245115;621;26.57
10245120;643;36.53
10245125;442;43.53
10245130;501;49.36
10245135;534;54.76
10245140;355;57.27
10245145;565;54.16
10245150;460;49.29
10245155;469;58.93
10245160;425;58.53
10245165;559;60.14
10247010;545;44.41
10247015;484;37.15
10247020;540;39.44
10247025;978;34.09
10247030;501;44.83
10247035;1019;46.6
10247045;931;49.25
10247050;555;45.64
10247055;908;56.28
10247060;1033;54.1
10247065;769;44.68
10247070;595;51.38
10247075;1161;49.13
10247080;2037;44.99
10247085;629;25.33
10247090;394;35.57
10247095;646;45.52
10247100;802;45.84
10247105;702;44.77
10247110;553;45.73
10247115;1709;48.58
10247120;978;44.97
10247125;503;44.44
10247130;321;50.77
10247135;434;58.16
10247140;378;24.92
10247145;445;47.65
10249005;1604;34.69
10249010;619;20.22
10249015;360;16.93
10249020;666;17.9
10249025;727;14.4
10249030;497;16.04
10249040;888;40.43
10249045;944;24.34
10249050;1013;39.51
10249055;1109;44.26
10249060;525;36.14
10249065;1387;52.06
10249070;844;49.54
10249075;1041;47.06
10249080;750;55.23
10249090;756;45.99
10249100;649;38.59
10315006;350;24.55
10315010;108;28.85
10315015;983;11.93
10315020;343;8.85
10315030;858;21.86
10315035;465;24.28
10315040;467;22.78
10315045;945;17.1
10315050;405;42.65
10315055;473;26.22
10315060;232;14.23
10315065;582;17.78
10315070;509;20.3
10315075;797;32.04
10315080;783;16.48
10315085;495;14.11
10315090;273;11.2
10315095;485;22.55
10315100;679;25.51
10315105;479;21.06
10315110;290;10.86
10315120;1033;19.63
10315125;1699;34.47
10315130;860;19.3
10317005;889;36.94
10317010;1245;40.95
10317015;476;39.38
10317025;931;42.51
10317030;477;45.3
10317040;919;41.26
10317045;595;30.04
10317050;606;25.38
10317055;551;27.92
10317060;112;23.44
10317070;279;43.01
10317075;544;35.9
10317080;1107;37.15
10317085;348;20
10317090;1694;17.65
10317095;64;24.03
10318005;1140;31.96
10318010;726;9.14
10318015;571;10.96
10318020;916;16.53
10318030;695;16.46
10318035;177;19.27
10318040;1505;15.58
10318045;624;20.22
10318050;816;17.1
10318055;1330;21.36
10318060;1583;15.11
10318065;661;12.8
10318070;636;18.96
10318075;492;12.22
10318080;784;10.58
10319005;385;22.11
10319011;388;9.18
10319013;214;18.67
10319015;806;17.55
10319025;139;16.76
10319030;267;9.57
10319035;259;11.34
10319040;168;11.56
10319045;513;18.65
10319050;484;10.34
10319055;81;16.45
10319060;681;22.81
10319070;372;11.36
10319075;1006;18.68
10319080;1292;19.09
10319085;577;12.72
10319090;181;8.77
10319095;274;22.39
10319100;583;17.57
10319105;798;19.83
10319110;179;7.57
10319115;411;8.46
10319120;400;14.27
10319125;844;17.6
10319130;224;9.1
10365005;999;25.03
10365010;542;46.82
10365015;996;23.37
10365030;1023;22.94
10365035;729;21.49
10365040;461;28.39
10365045;368;23.05
10365050;560;32.71
10365055;550;25.15
10365060;470;34.7
10365065;580;26.34
10365070;354;27.8
10365075;892;29.65
10365080;349;10.96
10365085;768;15.7
10365090;752;32.69
10365095;533;27.03
10365100;588;16.84
10365105;636;26.67
10367005;307;22.31
10367010;92;14.48
10367015;538;27.86
10367020;531;28.49
10367025;583;35.29
10367030;1028;32.35
10367035;252;17.93
10367040;723;16.18
10367045;1101;17.95
10367050;493;12.93
10367055;539;12.4
10367060;767;25.03
10367065;206;17.48
10367070;660;18.51
10367080;882;19.35
10367085;405;16.02
10367090;676;22.03
10369010;376;12.33
10369015;242;10.39
10369020;428;32.23
10369025;705;22.85
10369030;374;18.6
10369035;295;23.08
10369040;179;24.28
10369050;395;14.64
10369055;463;25.09
10369060;401;16.79
10369065;385;13.16
10369075;690;20.74
10369080;355;13.84
10369085;338;20.99
10369090;640;17.01
10369095;286;16.8
10369100;747;13.2
10369110;533;30.41
10369115;288;27.81
10369120;618;12.54
10369125;426;19.88
10369130;361;14.75
10405005;1194;29.78
10405010;649;23.08
10405015;215;48.71
10405020;72;56.46
10405025;294;30.92
10405030;505;45.52
10405035;991;50.57
10405045;415;48.56
10405050;1195;42.17
10405055;166;26.48
10405060;619;44.89
10405065;802;46.47
10405070;332;34.75
10405075;360;48.9
10405080;1410;49.68
10405085;569;49.42
10405090;538;42.39
10405095;584;50.21
10405100;524;54.07
10405105;1565;57.79
10405110;175;55.66
10405115;473;41.24
10405120;660;39.1
10405125;1111;54.45
10405130;431;25.35
10405135;304;20.31
10407010;876;15.21
10407015;776;28.55
10407020;207;19.89
10407025;562;27.69
10407030;946;39.91
10407040;1191;42.8
10407045;607;32.36
10407050;483;19.28
10407055;516;31.86
10407060;803;52.98
10407065;243;40.77
10407070;347;31.81
10407075;292;45.85
10407080;591;44.46
10407085;587;35.89
10407090;1655;43.82
10407095;772;38.65
10407100;679;33.13
10407105;119;13.72
10407110;52;9.03
10407115;842;13.02
10409005;624;13.6
10409010;248;20.29
10409015;698;17.36
10409020;531;27.47
10409025;486;16.76
10409030;268;24.03
10409035;907;40.93
10409040;765;23.72
10409045;377;27.23
10409050;1054;46.03
10409055;245;60.24
10409060;639;37.65
10409065;371;30.95
10409070;334;7.04
10409075;254;9.04
10409080;541;12.28
10409085;973;15.63
10409090;145;9
10409095;870;11.3
10409105;927;19.88
10409110;440;15.39
10409115;594;14.57
10435005;755;42.15
10435010;1018;46.31
10435015;621;39.07
10435020;415;48.83
10435025;1019;51.97
10435030;794;56.16
10435040;1043;50.13
10435045;1225;50.47
10435050;1401;47.54
10435055;783;34.01
10435060;534;33.69
10437005;554;46.3
10437010;794;53.51
10437015;767;58.93
10437020;999;54.23
10437025;631;53.59
10437030;53;39.49
10437035;503;47.98
10437040;873;56.59
10437045;487;48.91
10437050;1287;46.45
10437055;671;53.8
10437060;849;53.04
10437065;322;57.04
10437070;1357;55.27
10437075;679;49.34
10437080;408;52.55
10437085;1036;59.58
10437090;1363;60.94
10437095;618;61.24
10437100;709;49.36
10437105;1265;59.31
10437115;497;64.14
10437120;1054;57.44
10437125;279;53.76
10437130;465;52.99
10439005;890;34.56
10439010;553;52.18
10439015;319;54.27
10439020;493;30.13
10439025;360;51.58
10439030;613;43.27
10439035;953;47.28
10439040;679;42.37
10439045;674;35.59
10439050;607;53.45
10439055;288;51.05
10439060;498;33.34
10439065;918;35.59
10439070;570;39.99
10439075;603;51.56
10439080;747;36.47
10439085;22;32.12
10439090;894;51.42
10439095;505;28.34
10439100;747;20.25
10439105;897;28.66
10439110;496;23.41
10439115;478;30.04
10439120;425;41.24
10439125;936;54.78
10439130;632;43.75
10551005;407;31.69
10551010;240;25.18
10551015;1430;31.03
10551020;434;25.85
10551025;87;25.12
10551030;1131;34.04
10551035;1085;31.83
10551040;462;18.41
10551045;338;27.6
10551050;303;34.44
10551055;1104;30.58
10551060;528;20.34
10551065;669;27.09
10551070;471;23.8
10551075;113;25.41
10551080;253;28.47
10551085;275;30.72
10553005;681;34.14
10553010;993;40.56
10553015;609;40.72
10553020;586;37.14
10553035;908;38.9
10553040;239;30.94
10553050;1426;36.55
10555005;709;42.64
10555010;417;33.54
10555015;433;22.48
10555020;1659;35.07
10555025;28;25.4
10555030;717;22.06
10555035;365;19.01
10555040;866;19.5
10555045;241;15.14
10555050;597;14.87
10555055;303;14.76
10555060;1009;17.93
10555065;752;18.51
10555070;792;26.79
10555075;287;17.53
10557005;163;30.13
10557015;444;14.1
10557025;741;14.6
10557030;462;13.78
10557035;935;20.68
10557045;728;17.22
10557050;366;18.68
10557055;320;18.51
10557060;935;20.2
10557065;775;15.51
10557070;373;19.44
10557075;724;14
10557080;484;16.28
10557085;553;23.88
10557090;1089;34.88
10557095;476;17.13
10559005;826;29.67
10559010;80;25.74
10559015;364;36.48
10559020;623;26.3
10559025;736;31.98
10559030;1019;36.68
10559035;419;32.4
10559040;174;33.07
10559045;309;17.26
10559050;747;32.96
10559055;956;33.94
10559060;301;26.18
10559065;938;20
10559070;262;29.91
10559075;244;18.06
10559080;59;15.46
10559085;27;9.35
10585005;139;16.41
10585010;980;26.98
10585015;492;17.6
10585020;394;23.31
10585030;722;15.35
10585035;516;20.42
10585040;724;20.95
10585045;396;15.26
10585050;20;56.44
10585055;332;14.79
10585060;159;16.69
10585065;538;19.16
10585070;490;20.35
10585075;745;19.58
10585080;1036;22.95
10587005;975;18.73
10587010;488;30.62
10587015;741;16.52
10587020;752;19.65
10587025;247;14.17
10587030;239;16.24
10587035;1319;25.6
10587040;189;9.42
10587045;1101;35.38
10587050;290;15.47
10587055;112;23.27
10587060;294;31.49
10587065;167;16.2
10589010;117;18.72
10589015;426;20.85
10589020;1232;29.22
10589025;149;23.98
10589030;466;20.02
10589035;863;21.48
10589040;1151;22.45
10589045;879;18.71
10589055;601;20.54
10589060;781;21
10589065;453;22.33
10589070;309;19.76
10589075;579;25.33
10623005;299;28.85
10623015;421;34.7
10623020;143;16.6
10623025;636;24.99
10623030;531;19.94
10623035;107;14.87
10623045;675;22.06
10623050;1163;21.92
10623055;243;20.42
10625005;501;17.41
10625010;1010;17.17
10625015;740;17.15
10625020;512;13.61
10625030;932;19.9
10625035;708;25.85
10625040;709;13.64
10625045;1198;19.03
10627005;863;19.07
10627010;1123;21.14
10627015;663;20.92
10627025;439;22.13
10627030;210;17.66
10627035;66;41.13
10627040;422;24.76
10627045;332;15.1
10627050;314;30.22
10627055;218;28.74
10627060;494;20.25
10627065;735;31.63
10627075;155;25.18
10627080;121;26.23
10627085;675;18.82
10629005;976;19.02
10629010;673;16.34
10629015;467;19.42
10629020;180;13.89
10629025;132;15.42
10629030;787;11.93
10629035;466;15.69
10629040;191;8.92
10629045;1514;16.24
10629050;1081;12.29
10629055;229;9.08
10629060;237;9.91
10629065;824;18.64
10707010;418;22.65
10707020;752;16.12
10707025;815;16.18
10707035;293;10.88
10707045;656;13.58
10707050;294;13.34
10707055;872;15.61
10707070;220;19.19
10707075;398;11.47
10707080;468;8.62
10707085;510;8.62
10707090;380;9.52
10707095;583;14.95
10707100;477;10.37
10709005;564;12.12
10709010;800;18.47
10709015;982;13.17
10709020;504;13.21
10709025;680;20.02
10709030;326;23.83
10709035;415;12.08
10709040;353;12.36
10709045;1061;15.38
10711005;299;22.86
10711010;715;13.39
10711015;299;11.45
10711020;32;15.75
10711035;880;14
10711040;755;17.23
10711045;467;8.72
10711050;788;20.26
10711055;501;16.87
10711060;693;14.66
10711065;677;14.27
10713005;572;12.2
10713010;1438;21.5
10713015;385;12.29
10713020;529;21.37
10713025;783;22.83
10713030;557;15.85
10713035;941;20.55
10713040;766;17.27
10713045;21;19.7
10713050;29;13.98
10713055;110;26.31
10713060;548;31.87
10715005;238;23.37
10715010;743;20.69
10715015;866;15.33
10715020;56;18.02
10715025;434;17.74
10715030;664;15.01
10715035;477;18.37
10715040;1165;16.55
10715045;726;19.61
10715050;1017;15.68
10715055;857;16.93
10715060;291;22.05
10715065;979;15.32
10715070;418;18.34
10715080;154;19.23
10717010;1305;19.88
10717015;1232;12.9
10717020;513;17.18
10717025;926;15.64
10717030;195;14.65
10717035;370;9.61
10717040;381;14.06
10717045;385;12.27
10717050;291;15.72
10717055;108;18.85
10717060;184;9.46
10717065;253;12.58
10717070;377;21.96
10717075;1173;12.8
10717085;267;17.46
10717090;1124;15.96
10719010;569;18.94
10719015;337;18.31
10719020;361;21.65
10719025;292;20.51
10719030;923;19.32
10719035;414;14.54
10719040;290;12.33
10719050;685;13.43
10719055;332;13.15
10719060;541;11.44
10719065;6;8.61
10719070;194;19.92
10719075;365;10.17
10719080;566;8.44
10719085;489;11.5
10777005;551;20.86
10777010;422;16.41
10777015;566;14.31
10777020;540;21.19
10777025;332;25.13
10777030;425;16.37
10777035;466;29.88
10777040;344;32.99
10777045;554;41.07
10777050;686;12.38
10777055;825;12.89
10777060;647;17.29
10777065;665;16.58
10777070;338;24.56
10779005;77;17.11
10779010;702;16.74
10779015;446;16.26
10779030;38;8.47
10779035;931;17.25
10779040;411;19.88
10779045;76;17.38
10779050;452;19.61
10779055;357;15
10779060;407;12.97
10779065;694;17.19
10779070;14;26.3
10779075;271;16.29
10779080;198;17.64
10779085;102;14.59
10781005;253;23.99
10781015;486;21.23
10781020;898;17.02
10781025;234;36.13
10781030;317;17.42
10781035;337;14.54
10781040;492;15.47
10781045;610;20.17
10781050;433;32.51
10781055;334;28.89
10781060;384;12.95
10781065;753;18.42
10781070;489;24.25
10781085;689;21.94
10781090;600;45.94
10783005;391;22.79
10783010;555;20.44
10783015;546;20.13
10783020;463;29.42
10783025;569;20.74
10783030;348;20.92
10783035;587;21.75
10783040;154;32.17
10783045;275;23.38
10783050;746;22.6
10783055;529;26.72
10783060;114;22.5
10783065;274;30.13
10785005;914;19.59
10785010;1520;22.43
10785015;947;25.85
10785020;614;27.21
10785025;250;24.09
10785030;181;15.35
10785035;644;37.08
10785040;536;26.75
10785045;641;32.57
10787005;1074;21.2
10787010;797;13.33
10787015;257;20.73
10787020;109;13.57
10787025;525;18.15
10787030;724;24.72
10787040;292;22.86
10787045;69;19.23
10787050;176;16.36
10789005;912;24.26
10789010;485;17.25
10789015;191;25.12
10789020;286;16.78
10789025;564;20.3
10789030;382;15.33
10789035;62;20.61
10823005;649;19.7
10823010;202;34.13
10823015;541;28.72
10823020;125;23.73
10823025;1067;28.32
10823030;182;17.15
10823035;857;22.02
10823040;662;22.97
10823045;799;39.06
10825005;506;12.13
10825010;723;14.98
10825015;653;16.28
10825020;466;13.42
10825025;454;13.47
10825030;148;28.94
10825040;405;11.42
10825045;591;16.73
10825050;429;28.72
10825055;443;13.1
10825060;806;14.78
10827005;302;28.66
10827010;888;21.97
10827015;3;10.85
10827020;712;26.96
10827025;440;22.03
10827030;417;32.76
10827035;512;37.39
10827040;266;28.19
10827045;902;34.18
10827050;330;32.66
10827055;787;26.01
10827060;1672;26.76
10827065;558;34.41
10827070;247;26.12
10829005;669;35.07
10829010;872;39.03
10829015;466;24.94
10829020;517;24.92
10829025;630;45.6
10829030;599;34.26
10829035;734;47.28
10829040;701;27.52
10829045;888;33.19
10829050;698;23.77
10829055;416;23.69
10829060;313;29.35
10829065;924;20.88
10961005;431;30.07
10961010;440;34.84
10961015;1225;46.48
10961020;396;39.83
10961025;281;33.52
10961035;713;16.21
10961040;751;37.99
10961045;528;28.33
10961050;490;45.52
10961060;367;25.3
10961065;533;41.1
10961075;469;49.78
10961085;489;41.97
10961090;422;20.24
10961095;517;31.46
10961100;1550;40.14
10961105;342;30.57
10961110;1131;24.22
10963005;425;34.2
10963010;1062;27.17
10963020;875;29.9
10963025;664;36.6
10963030;244;23.6
10963035;414;11.76
10963041;746;32.11
10963042;92;47.65
10963045;75;45.07
10963050;424;34.53
10963055;1030;24.83
10963060;667;38.71
10963065;536;25.87
10965005;499;27.01
10965010;581;27.98
10965015;453;45.81
10965020;1684;30.26
10965025;445;19.2
10965030;933;31.53
10965035;582;46.57
10965040;66;38.73
10965045;253;26.54
10965055;952;35.97
10965060;422;32.5
10965065;390;31.19
10965070;979;36.71
10965075;326;45.84
10965080;302;30.86
10965085;361;28.86
10965090;1004;38.25
10965095;311;30.92
10965100;283;11.19
10965105;170;14.03
10967005;156;15.13
10967010;465;35.62
10967015;531;21.72
10967020;832;37
10967025;826;33.44
10967030;409;37.15
10967035;449;24.72
10967045;377;31.04
10967050;430;40.16
10967055;633;31.34
10967060;598;29.68
10967065;1040;23.19
10967070;839;29.97
10967075;684;29.48
10967085;233;41.03
10967095;285;47.28
10967100;434;24.72
10967105;81;25.12
10967115;479;32.95
10967120;1050;34.85
10969005;739;26.22
10969010;471;23.37
10969015;818;14.55
10969020;284;18.35
10969025;904;18.99
10969030;328;18.28
10969035;680;19.81
10969040;235;22.74
10969045;287;14.47
10969050;540;32
10969060;803;18.19
10969065;501;17.76
10969070;1065;17.33
10969075;820;32.07
10969080;307;25.77
10969085;438;27.4
10969090;148;24.07
10969095;832;18.83
10969100;663;21.41
10969105;340;17.07
10969110;417;20.76
10969115;713;15.71
10997010;359;26.26
10997025;600;22.48
10997030;701;33.97
10997035;312;41.96
10997040;1210;23.89
10997045;1133;29.86
10997050;829;32.33
10997055;611;31.67
10997060;515;31.87
10997065;1450;31.13
10997070;957;38.06
10997075;687;33.81
10997080;649;31.16
10997085;634;38.14
