P8_ID;P8_MBA_A_Haushalt;P8_B4P_P_ALTER_18_29
01277015;146;10.07
01277020;613;14.57
01277025;119;14.77
01277030;1042;23.75
01277035;829;21.52
01277040;655;25.61
01277045;451;29.6
01277050;472;19.06
01277055;1102;18.53
01277060;1035;24.63
01277065;451;13.1
01277070;982;13.4
01277075;407;28.85
01277080;299;13.41
01277085;585;17.12
01277090;1266;21.3
01277095;594;11.23
01277100;1145;12.52
01277105;793;16
01277110;1141;17.97
01277115;811;13.3
01277120;985;15.09
01277125;477;14.62
01277130;364;10.22
01277135;400;22.92
01277140;204;17.74
01277145;330;14.76
01277150;149;13.98
01279005;730;19.19
01279010;639;19.2
01279015;700;15.7
01279020;733;9.39
01279025;1185;12.4
01279030;269;22.51
01279035;494;15.61
01279040;168;8.23
01279045;277;11.78
01279050;682;13.7
01279055;873;17.77
01279060;622;10.58
01279065;1346;12.8
01279070;909;14.71
01279075;619;11.91
01279080;1647;18.67
01307005;778;11.76
01307010;524;15.66
01307015;845;24.01
01307020;787;16.17
01307025;890;19.7
01307030;657;24.55
01307035;722;22.26
01307040;968;26.37
01307045;931;14.35
01307050;492;12.32
01307055;768;19.02
01307060;740;17.95
01307065;579;12.79
01307070;288;13.63
01307075;175;35.11
01307080;344;25.7
01307085;688;13.13
01307090;460;10.35
01307095;1018;11.68
01307100;821;9.2
01309005;166;13.02
01309010;1092;14.36
01309015;1071;21.56
01309020;751;12.59
01309025;1145;15.17
01309030;1094;15.22
01309035;1115;15.3
01309040;613;14.19
01309045;1371;13.76
01309050;639;15.7
01309055;1299;15.68
01309060;175;3.82
01309065;601;8.62
01309070;571;17.39
01309075;574;13.71
01309080;1517;16.5
01309085;1199;11.44
01309090;764;14.33
01309095;673;10.66
01309100;1117;24.21
01309105;845;24.47
01309110;600;24.31
01309115;182;29.77
01324005;680;10.36
01324010;609;10.38
01324015;683;8.66
01324020;328;11.67
01324025;406;6.99
01324030;647;5.58
01324035;928;10.21
01324040;456;7.85
01324045;221;15.26
01326005;452;7.24
01326010;621;5.47
01326015;470;13.69
01326020;544;7.54
01326025;478;8.94
01326030;996;8.98
01326035;569;5.81
01326040;404;8.85
01326045;611;8.96
01326050;417;6.11
01326055;335;8.2
01326060;179;5.92
01328005;195;9.17
01328010;354;12.37
01328015;543;5.25
01328020;184;10.11
01328025;1017;7.43
01328030;248;5.45
01328035;265;7.85
01328040;463;9.02
01328045;408;10.82
01328055;454;13.38
01328060;810;14.6
01328065;730;22.91
01328070;365;15.46
01328075;687;21.88
01328080;551;10.5
01445005;861;24.04
01445010;402;21.07
01445015;1011;16.68
01445020;509;21.83
01445025;1660;14.76
01445030;973;20.31
01445035;1066;11.87
01445040;798;13.04
01445045;490;6.34
01445050;872;10.26
01445055;554;10.26
01445060;1079;17.17
01445065;774;8.3
01445070;948;13.25
01445075;531;9.54
01445080;1305;9.59
01445085;680;21
01445095;611;14.86
01445100;645;9.84
01445105;569;15.37
01445110;488;15.54
01445115;448;12.44
01445120;671;20.69
01454005;155;16.53
01454010;179;8.46
01454015;704;18.73
01454020;188;24.46
01454025;112;16.88
01454030;779;23.18
01454035;152;17.11
01454040;254;14.75
01454045;385;29.69
01454050;77;7.26
01454055;199;17.02
01454060;356;11.38
01454070;182;11.46
01454075;1022;10.12
01454080;542;15.86
01454085;920;9.97
01454090;482;9.11
01454095;404;24.37
01454100;386;13.91
01454105;420;12.93
01454110;381;11.16
01454115;477;12.9
01454120;422;17.3
01454125;429;13.28
01454130;505;6.62
01454135;431;18.27
01454140;415;13.25
01458005;294;14.7
01458010;848;15.54
01458015;723;17.07
01458020;1232;13.88
01458025;636;11.01
01458030;627;12.79
01458035;484;11.15
01465005;599;7.79
01465010;583;11.25
01465015;696;11.56
01465020;225;9.96
01468005;1002;16.71
01468010;990;11.58
01468015;349;20.35
01468020;557;13.78
01468035;270;9.38
01468040;217;14.49
01468045;572;11.42
01468050;10;6.93
01471015;175;8.88
01471020;533;13.39
01471025;203;24.27
01471030;389;10.75
01471035;1053;18.33
01471040;256;11.46
01471045;250;12.42
01471050;294;12.2
01471055;528;17.01
01471060;200;8.37
01477005;404;12.26
01477010;361;13.39
01477015;393;18.42
01477020;174;23.25
01477025;189;12.63
01477030;395;11.33
01477035;255;10.06
01558005;369;27.9
01558010;365;25.41
01558015;471;26.48
01558020;297;28.86
01558025;364;10.63
01558030;82;21.65
01558035;633;17.59
01558040;543;26.88
01558045;270;27.11
01558050;328;12.14
01558055;281;8.2
01558060;794;15.76
01558065;305;9.96
01558070;201;13.34
01558075;307;12.96
01558080;317;11.95
01558085;582;17.02
01558090;501;7.69
01558095;203;8.86
01558100;140;9.81
01561005;570;12.56
01561010;179;7.12
01561015;307;12.74
01561020;251;14.55
01561025;197;10.55
01561035;441;13.2
01561040;132;16.12
01561045;136;8.44
01561050;125;9.02
01561055;157;17.5
01561060;245;8.91
01561065;161;12.09
01561070;166;22
01561075;158;7.14
01561085;159;8.79
01561090;150;9.02
01561095;157;11.83
01561100;408;10.21
01561105;125;11.97
01561110;130;8.91
01561120;239;17.62
01561125;217;11.71
01561130;284;16.06
01561135;154;13.06
01561145;197;7.42
01561150;246;10.47
01561160;137;12.69
01561165;226;8.96
01561170;178;12.27
01561175;95;8.83
01561180;147;7.33
01561185;167;6.15
01561195;253;11.59
01561200;282;10.07
01561205;463;6.35
01561210;158;9.94
01561215;31;4.5
01561220;71;12.9
01561225;93;6.73
01561230;117;13.76
01561235;141;7.76
01561240;95;14.12
01561245;19;17.22
01561250;26;22.24
01561255;88;22.06
01561260;301;9.6
01561265;43;12.44
01561270;59;4.96
01587005;587;26.77
01587010;273;19.94
01587015;887;16.1
01587020;475;22.96
01587025;657;24.2
01587030;339;15.69
01587035;1109;14.17
01587040;610;16.96
01587045;612;15.2
01587050;231;9.73
01587055;645;11.64
01587060;1028;16.34
01589005;186;10.13
01589010;350;9.7
01589015;576;19.89
01589020;584;18
01589025;639;18.22
01589030;1467;15.9
01589035;472;27.4
01589040;354;24.86
01589045;234;27.08
01589050;390;14.56
01589055;557;17.28
01591005;249;7.5
01591010;158;8.42
01591015;210;14.74
01591020;471;20.19
01591025;391;20.2
01591030;367;13.77
01591035;574;16.96
01591040;1024;12.01
01591045;474;5.6
01591050;531;5.49
01591055;287;6.34
01591060;321;18.65
01594005;131;8.61
01594010;178;9.1
01594015;192;20.86
01594020;130;11.22
01594025;285;13.66
01594030;230;8.53
01594035;181;6.51
01594045;465;16.22
01594050;184;8.1
01594055;160;9.48
01594060;205;7.85
01594065;109;9.62
01594070;126;12.19
01594080;216;13.99
01594085;110;6.87
01594090;31;6.1
01594095;100;11.86
01594100;92;10.78
01609005;233;5.95
01609010;318;27.25
01609015;389;8.6
01609020;252;7.65
01609025;481;22.81
01609030;602;19.55
01609035;501;16.88
01609040;475;20.36
01609045;623;20.89
01609050;206;7.92
01609060;143;10.39
01609065;518;7.9
01609070;192;7.22
01609075;584;19.42
01609080;187;9.06
01609085;169;11.22
01609090;369;13.71
01609095;234;7.58
01609100;110;8.53
01612005;815;10.68
01612010;153;12.01
01612015;463;14.29
01612020;598;13.36
01612025;523;19.05
01612030;176;9.22
01612035;129;8.87
01612040;192;12.05
01612045;274;11.37
01612050;167;12.72
01612055;299;9.64
01612065;49;11.49
01616005;631;12.53
01616010;265;9.37
01616015;756;14.16
01616020;163;12.12
01619005;229;12.63
01619010;193;14.42
01619015;217;7.75
01619020;936;17.56
01619025;56;13.74
01619030;183;15.77
01619035;163;6.09
01619040;285;9.17
01619045;133;9.66
01619050;673;12.3
01623040;179;11.74
01623045;826;10.18
01623050;255;13.7
01623055;388;10.15
01623060;243;18.23
01623070;125;12.79
01623075;278;13.1
01623080;131;15.25
01623085;203;18.53
01623095;77;8.36
01640005;902;17.55
01640010;544;20.22
01640015;609;22.43
01640020;396;16.08
01640025;792;8.98
01640030;533;17.76
01640035;306;7.91
01640040;918;12.17
01640045;119;13.06
01640050;409;12.31
01640055;287;7.03
01640060;884;17.28
01640065;452;8.03
01640070;1063;11.1
01640075;421;13.68
01640080;665;24.62
01640085;575;14.54
01640090;456;7.89
01640095;1172;17.27
01662005;315;17.19
01662010;806;18.83
01662015;588;28.32
01662020;292;31.68
01662025;192;8.25
01662030;445;19.75
01662035;209;9.59
01662040;658;9.45
01662045;494;9.62
01662050;356;13.69
01662055;930;25.74
01662060;750;24.95
01662065;387;24.06
01662070;675;18.42
01662075;861;13.97
01662080;182;17.89
01662085;407;12.41
01662090;302;9.38
01662095;682;13.12
01662100;272;10.03
01662105;595;9.61
01662110;558;18.25
01662115;628;26.28
01662120;282;29.11
01662125;678;13.75
01662130;903;17.15
01662135;608;19.45
01662140;722;8.88
01662145;159;7.54
01665005;283;9.82
01665010;113;13.38
01665015;252;9.83
01665020;228;9.7
01665025;132;11.55
01665030;299;9.51
01665035;152;17.62
01665040;107;17
01665045;206;8.63
01665050;180;14.43
01665060;95;10.86
01665065;157;16.81
01665070;229;12.1
01665080;187;9.14
01665085;615;14.66
01665090;119;12.63
01665095;318;13.13
01665100;146;11.52
01665105;233;11.41
01665110;314;14.24
01665115;139;9.89
01665120;133;15.77
01665125;195;12.55
01665130;181;12.08
01665135;220;14.75
01665145;118;11.68
01665150;130;9.32
01665155;136;15.91
01665160;179;10.23
01665165;138;10.23
01665170;214;11.65
01665190;238;8.4
01665195;125;19.36
01665200;112;9.16
01665205;147;10.53
01665210;59;27.51
01665215;169;11.56
01665220;74;32.21
01665225;84;16.4
01665230;172;9.17
01665240;74;11.28
01665245;96;15.39
01665250;286;10.9
01683005;182;20.23
01683010;247;21.83
01683015;251;11.34
01683020;586;20.89
01683025;708;16.39
01683030;58;22.53
01683035;453;10.38
01683040;384;9.56
01683045;214;10.22
01683050;378;10.27
01683055;174;10.2
01683065;155;17.8
01683070;121;5.9
01683080;85;7.55
01683085;109;6.11
01683090;181;6.94
01683095;160;13.45
01683100;152;9.95
01683105;235;9.5
01683110;107;10.92
01683115;95;9.23
01683120;31;10.1
01683125;145;9.26
01683130;75;21.2
01683135;105;6.68
01683140;82;10.88
01689005;230;13.54
01689010;175;7.79
01689015;1071;11.81
01689020;396;17.19
01689025;123;13.87
01689030;522;10.64
01689045;411;20.12
01689050;375;9.59
01689055;896;12.42
01689060;472;13.15
01689065;566;12.7
01689070;488;22.04
01689075;543;12.97
01689080;646;14.37
01705005;117;22
01705010;925;21.6
01705015;678;17.12
01705020;349;28.28
01705025;646;24.75
01705030;312;11.47
01705035;143;21.6
01705040;853;9.12
01705045;594;25.81
01705050;294;18.21
01705055;550;15.31
01705060;593;22.07
01705065;452;9.46
01705070;830;23.56
01705075;628;11.69
01705080;626;15.11
01705085;446;15.98
01705090;460;9.83
01705095;532;13.06
01705100;793;14.79
01705105;288;15.63
01705110;792;18.64
01705115;172;25.32
01705120;399;10.33
01705125;1006;11.47
01705130;167;13.34
01705135;577;17.93
01705140;443;10.58
01705145;477;12.14
01705150;217;25.25
01705155;545;11.81
01705160;143;12.71
01705165;578;16.21
01705170;426;8.77
01705175;1492;14.61
01705180;1371;13.84
01723005;714;12.89
01723010;224;20.22
01723015;220;12.71
01723020;1038;16.72
01723025;711;12.06
01723030;219;11.31
01723035;132;9.02
01723040;333;8.42
01723045;490;10.42
01723055;499;16.86
01723060;463;22.77
01723065;780;24.18
01728005;326;20.51
01728010;341;22.86
01728015;300;14.97
01728020;177;13.74
01728025;1426;14.05
01728030;232;14.7
01728035;296;17.07
01728040;1395;16.03
01728045;146;9
01728050;423;12.15
01731005;78;8.02
01731010;276;9.24
01731015;802;16.74
01731020;371;14.36
01731025;255;18.1
01731035;131;20.7
01731045;130;13.19
01734005;204;7.89
01734010;557;11.18
01734015;144;11.53
01734020;883;16.49
01734025;178;13.59
01737005;243;11.1
01737010;981;21.66
01737015;100;10.15
01737020;806;12.82
01737025;232;8.18
01737030;254;8.84
01737035;261;8.11
01737040;257;14.36
01737045;220;9.32
01738020;554;12.04
01744005;197;17.99
01744010;539;20.81
01744015;343;15.83
01744020;325;13.2
01744025;107;9.11
01744030;654;9.14
01744035;491;21.96
01744040;200;10.91
01744045;223;17.23
01744050;280;13.38
01744055;489;9.83
01744060;336;11.09
01744065;349;12.58
01744070;305;11.58
01744075;81;11.76
01744080;272;11.22
01744085;813;14.15
01744090;206;8.5
01744095;488;13.51
01744100;322;9.51
01762005;278;12.1
01762010;271;10.51
01768005;1229;16.75
01768015;337;8.39
01768020;539;9.57
01768025;372;14.07
01768030;212;9.45
01768035;259;9.98
01768040;192;8.57
01768045;194;11.88
01768050;263;12.16
01773005;453;13.85
01773010;694;23.75
01773015;89;7.07
01773020;257;8.83
01773025;290;12.84
01773030;152;11.96
01773035;90;8.7
01773040;406;10.05
01773045;524;16.42
01774005;157;10.56
01774010;609;16.78
01774015;187;11.93
01774020;345;12.58
01774025;450;10.5
01774030;952;12.3
01774035;214;13.07
01774040;1;15.09
01774045;232;10.23
01776005;428;12.04
01778005;169;11.08
01778010;731;11.69
01778015;157;7.69
01778020;166;9.87
01778025;290;10.53
01796005;576;13.3
01796010;366;13.02
01796015;510;24.62
01796020;957;16.89
01796025;551;10.6
01796030;820;11.86
01796035;162;14.29
01796040;435;16.88
01796045;714;10.8
01796050;585;13.31
01796055;214;7.87
01796060;75;13.94
01796065;652;11.01
01796070;245;11
01796075;226;8.3
01796080;238;10.69
01796085;219;10.86
01796090;535;19.56
01796095;661;32.76
01796100;553;20.35
01796105;481;26.05
01796110;976;27.48
01796115;670;24.91
01796120;246;13.67
01796125;668;15
01796130;899;10.73
01796135;14;17.59
01796140;407;10.59
01796145;358;19.16
01796150;290;15.82
01796155;1024;15.13
01796160;560;16.22
01796165;209;10.4
01796170;1119;13.59
01796175;129;12.39
01796180;1178;12.94
01796190;187;7.91
01796195;297;11.96
01796200;500;13.67
01796205;223;9.34
01796210;1361;12.31
01796215;223;10.27
01796225;420;11.12
01796230;132;14.91
01796235;265;11.75
01796240;69;15.86
01796245;224;16.32
01809005;415;12.22
01809010;358;17.85
01809015;327;13.5
01809020;564;19.94
01809025;159;13.46
01809030;296;6.73
01809035;230;9.89
01809040;127;7.1
01809045;140;9.34
01809050;243;9.36
01809055;415;18.28
01809060;434;15.24
01809065;216;12.61
01809070;687;19.32
01809075;964;11.82
01809080;170;12.6
01809085;226;15.59
01809090;236;24.59
01809095;347;25.43
01809100;455;15.82
01809105;573;21.02
01809110;699;15.28
01809115;319;16.66
01809120;447;18.05
01809125;968;20.67
01809135;373;23.99
01809140;317;17.63
01809150;305;15.42
01809155;230;11.08
01809160;167;12.71
01809165;126;12.84
01809170;37;7.53
01809175;48;8.14
01809180;55;7.7
01814005;147;12.36
01814010;466;16.05
01814015;210;8.25
01814020;348;10.81
01814025;242;9.71
01814030;196;13.69
01814035;166;12.43
01814040;232;18.19
01814045;270;16.74
01814050;243;9.37
01814060;340;11.13
01814065;324;10.25
01814070;70;6.59
01814075;89;14.13
01816005;136;11.73
01816010;611;17.12
01816015;76;9.8
01816020;246;8.33
01816025;175;6.8
01816030;830;12.93
01816035;197;12.7
01816040;316;9.41
01816045;139;13.79
01816050;70;8.58
01819020;190;12.46
01819025;231;10.31
01819030;167;14.71
01819035;181;14.64
01819040;226;12.17
01824005;201;10.67
01824010;385;12.94
01824015;168;9.85
01824020;226;12.28
01824025;172;18.58
01824030;233;17.59
01824035;294;12.82
01824040;225;12.19
01824045;380;10.72
01824050;192;9.44
01824055;121;7.69
01824060;207;13.4
01824065;158;10.53
01824070;353;11.51
01825010;144;13.51
01825015;297;11.16
01825020;162;12.13
01825035;54;7.97
01829005;365;13.32
01829010;448;10.68
01833005;675;15.47
01833010;578;16.25
01833015;162;13.43
01833020;148;8.93
01833025;144;8.11
01833030;124;8.48
01833035;180;9.85
01833040;242;15.12
01833045;165;9.84
01833050;382;10.24
01833055;427;12.29
01833060;237;10.36
01833065;1218;14.79
01844005;351;7.73
01844010;1000;11.51
01844015;133;7.57
01844020;250;8.49
01844025;250;9.14
01844030;1035;14.86
01844035;1171;18.15
01844040;650;12.89
01844045;1264;16.83
01844050;711;14.78
01844055;383;10.62
01847005;584;9.32
01847010;535;11.63
01847015;355;12.42
01848005;476;13.14
01848010;375;10.36
01848015;203;10.56
01848020;107;15.55
01848025;163;9.61
01848030;134;9.43
01848035;222;12.25
01855005;177;9.2
01855010;227;10.97
01855015;118;12.04
01855020;198;9.04
01855025;233;10.97
01855030;658;15.63
01855035;472;16.25
01855040;841;16.81
01855045;869;13.7
01855050;589;13.39
01855055;384;11.24
01855060;257;7.11
01855065;296;12.4
01855070;314;7.38
01877005;144;9.53
01877010;415;16.82
01877015;803;18.45
01877020;236;14.3
01877025;225;22.35
01877030;567;14.65
01877035;375;18.44
01877040;274;22.75
01877045;544;9.9
01877050;193;9.91
01877055;797;17.43
01877065;173;8.71
01877070;174;10.08
01877075;282;14.09
01877080;263;12.25
01877085;790;12.94
01877095;140;11.24
01877100;155;12.44
01877110;152;5.86
01877115;576;12.1
01877125;768;10.33
01877130;574;12.39
01877135;155;9.59
01877140;150;8.65
01877145;41;9.14
01877150;63;10.2
01877155;40;7.19
01877160;21;4.15
01877165;169;9.75
01896005;306;14.36
01896010;462;12.17
01896015;616;10.88
01896020;532;12.7
01896025;495;10.52
01896030;596;15.39
01896035;1115;18.93
01896040;420;10.77
01896045;178;7.84
01896050;160;11.18
01896055;562;7.04
01900005;945;10.55
01900010;312;6.83
01900015;236;14.9
01900020;563;13.19
01900025;732;13.95
01900030;920;17.8
01900035;367;17.96
01900040;321;11.11
01904005;330;8.39
01904010;403;12.82
01904015;385;10.18
01904020;672;20.66
01904025;534;11.07
01904030;154;9.95
01904035;650;9.01
01904040;439;12.73
